UniqueID_v2,ni_total,nt_total,nt_ti_stenocold,nt_ti_cold,nt_ti_cool,nt_ti_warm,nt_ti_stenowarm,nt_ti_eury,nt_ti_cowa,nt_ti_na,nt_ti_stenocold_cold,nt_ti_stenocold_cold_cool,nt_ti_cowa_warm_stenowarm,nt_ti_warm_stenowarm,pi_ti_stenocold,pi_ti_cold,pi_ti_cool,pi_ti_warm,pi_ti_stenowarm,pi_ti_eury,pi_ti_cowa,pi_ti_na,pi_ti_stenocold_cold,pi_ti_stenocold_cold_cool,pi_ti_cowa_warm_stenowarm,pi_ti_warm_stenowarm,pt_ti_stenocold,pt_ti_cold,pt_ti_cool,pt_ti_warm,pt_ti_stenowarm,pt_ti_eury,pt_ti_cowa,pt_ti_na,pt_ti_stenocold_cold,pt_ti_stenocold_cold_cool,pt_ti_cowa_warm_stenowarm,pt_ti_warm_stenowarm
SampWA_5588_1,544,55,0,4,19,12,0,12,5,3,4,23,17,12,0,5.698529412,32.35294118,19.48529412,0,28.49264706,13.23529412,0.735294118,5.698529412,38.05147059,32.72058824,19.48529412,0,7.272727273,34.54545455,21.81818182,0,21.81818182,9.090909091,5.454545455,7.272727273,41.81818182,30.90909091,21.81818182
SampWA_5590_1,572,44,0,1,9,11,0,13,10,0,1,10,21,11,0,0.34965035,3.146853147,21.15384615,0,31.11888112,44.23076923,0,0.34965035,3.496503497,65.38461538,21.15384615,0,2.272727273,20.45454545,25,0,29.54545455,22.72727273,0,2.272727273,22.72727273,47.72727273,25
SampWA_5594_1,598,52,0,2,9,17,1,13,7,3,2,11,25,18,0,0.668896321,15.88628763,56.18729097,0.334448161,19.06354515,6.856187291,1.003344482,0.668896321,16.55518395,63.37792642,56.52173913,0,3.846153846,17.30769231,32.69230769,1.923076923,25,13.46153846,5.769230769,3.846153846,21.15384615,48.07692308,34.61538462
SampWA_5596_1,542,33,0,1,5,9,1,14,3,0,1,6,13,10,0,1.291512915,14.57564576,13.65313653,0.184501845,47.23247232,23.06273063,0,1.291512915,15.86715867,36.900369,13.83763838,0,3.03030303,15.15151515,27.27272727,3.03030303,42.42424242,9.090909091,0,3.03030303,18.18181818,39.39393939,30.3030303
SampWA_5598_1,543,57,4,13,21,2,0,14,1,2,17,38,3,2,32.41252302,38.30570902,15.83793738,2.209944751,0,10.68139963,0.184162063,0.368324125,70.71823204,86.55616943,2.394106814,2.209944751,7.01754386,22.80701754,36.84210526,3.50877193,0,24.56140351,1.754385965,3.50877193,29.8245614,66.66666667,5.263157895,3.50877193
SampWA_5600_1,552,65,3,10,24,7,0,17,4,0,13,37,11,7,5.97826087,9.963768116,47.64492754,5.797101449,0,29.16666667,1.449275362,0,15.94202899,63.58695652,7.246376812,5.797101449,4.615384615,15.38461538,36.92307692,10.76923077,0,26.15384615,6.153846154,0,20,56.92307692,16.92307692,10.76923077
SampWA_5603_1,589,30,0,0,6,3,0,14,6,1,0,6,9,3,0,0,9.847198642,1.018675722,0,16.97792869,71.64685908,0.509337861,0,9.847198642,72.6655348,1.018675722,0,0,20,10,0,46.66666667,20,3.333333333,0,20,30,10
SampWA_5605_1,556,49,0,3,12,9,0,18,7,0,3,15,16,9,0,2.517985612,9.892086331,33.99280576,0,36.15107914,17.44604317,0,2.517985612,12.41007194,51.43884892,33.99280576,0,6.12244898,24.48979592,18.36734694,0,36.73469388,14.28571429,0,6.12244898,30.6122449,32.65306122,18.36734694
SampWA_5608_1,521,38,0,1,1,17,3,13,2,1,1,2,22,20,0,0.19193858,1.343570058,42.80230326,8.061420345,10.74856046,18.61804223,18.23416507,0.19193858,1.535508637,69.48176583,50.86372361,0,2.631578947,2.631578947,44.73684211,7.894736842,34.21052632,5.263157895,2.631578947,2.631578947,5.263157895,57.89473684,52.63157895
SampWA_5609_1,592,61,0,1,16,21,0,12,11,0,1,17,32,21,0,0.337837838,26.01351351,45.60810811,0,13.17567568,14.86486486,0,0.337837838,26.35135135,60.47297297,45.60810811,0,1.639344262,26.2295082,34.42622951,0,19.67213115,18.03278689,0,1.639344262,27.86885246,52.45901639,34.42622951
